num,date,review,rating,like
134,2021년 04월 15일,좋은 제품들이 많은거 같아서 좋아용,5,
135,2021년 04월 15일,신선식품 주문했었는데 안전하게 잘 받았습니다!~,5,
136,2021년 04월 15일,너무 좋아요. 티몬이랑 쿠팡 쓰다가 그냥 이제 롯데온으로 바꿨음,4,
137,2021년 04월 14일,몇번 더 사봐야 알겠지만 괜춘하네영,3,
138,2021년 04월 14일,각종 이벤트 와 할인 행사 더 자주자주 부탁해요~~@@,3,
139,2021년 04월 14일,"일요일밤부터 롯데마트 주문하려는데 계속 에러나고 주문이 안됨 월요일에 고객센터 전화하니 롯데마트몰 삭제하고 롯데온앱 다운받아서 주문하라고해서 시키는대로함. 그렇게해도 안되서 또 고객센터 전화하니 이번엔 장바구니에 있는거 다 비우고 다시 담아서 주문하라고해서 했으나 또 안됨 화요일에 다시 전화했더니 이번엔 쿠키삭제하고 주문하라고 ㅠㅠ 무슨 똥개훈련시키는것도 아니구 하지만 인내심을 갖고 늘 주문하던곳이니 시키는대로하고 또 주문시도했으나 안됨 수요일에 제시도했으나 안되고 남편 폰으로 롯데온 앱 다운받아서 다시 주문시도했으나 또 안됨 정말...
전체 리뷰",1,
140,2021년 04월 14일,즐기면서 쇼핑하고 있습니다.,5,
141,2021년 04월 14일,좋아욤~~,5,
142,2021년 04월 14일,쿠폰이 자꾸 들어와서 중독됨,4,
143,2021년 04월 14일,좋습니다요~,5,
144,2021년 04월 14일,엘포인트 너무 너무 좋아요~~~,5,
145,2021년 04월 14일,계속 치솟는 물가 때문에 구매도 부담 되는데 여기서는 그래도 가성비 상품들이 많아서 자주 이용합니다,3,
146,2021년 04월 14일,정확한 배송에 저렴한 물건 굳~,5,
147,2021년 04월 14일,특가 세일하는 게 있어서 이상하게 매일 한번씩 접속하게 되네요.,4,
148,2021년 04월 14일,여러 어플 많이 사용해봤지만 제품 퀄리티는 좋네요,5,
149,2021년 04월 14일,여러 군데 비교 해봐도 여기가 제일 낫네열,3,
150,2021년 04월 14일,롯데카드를 쓰니 롯데온 어플을 쓰는거지 아니였음 벌써 네이버쇼핑으로 넘어가도 남음 우선적으로 통합되었지만 검색은 이상하고 실행시키지도 않았는데 자동적으로 어플이 실행되는 매우 불쾌한 현상도 있네요 수정 안 해주면 그냥 삭제합니다. 갤럭시 9 입니다.,1,6
151,2021년 04월 14일,기본이 안 되어 있는 앱,1,
152,2021년 04월 13일,아니 롯데는 왜 이렇게 상품 전달 하는게 왜 이렇게 느린거에요?!?!?!?!,1,
153,2021년 04월 13일,컴터와 달리 할인이 안됨...,1,
